Название объекта,Цена,Расположение,Район,Количество комнат,Площадь (м²),Дополнительные параметры
Отдельный дом ,420 000 000 〒,"Медеуский р-н, мкр Горный Гигант — Эдельвейс",Медеуский,5,305,Floor: 3
4-комнатный дом,от 191 090 000 〒,Медеуский р-н,Медеуский,4,197,Floor: 2;  Construction year: 2022
Отдельный дом ,88 000 000 〒,"Наурызбайский р-н, мкр Таусамалы",Наурызбайский,4,160,Floor: 2;  Construction year: 2024
Отдельный дом ,28 000 000 〒,"Алатауский р-н, мкр Алгабас — Мухитдинова",Алатауский,4,100,Floor: 1;  Construction year: 2024
Отдельный дом ,79 000 000 〒,"Алатауский р-н, мкр Алгабас 34",Алатауский,8,220,Floor: 2;  Construction year: 2014
Отдельный дом ,250 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Хрищатого 2а",Наурызбайский,6,350,Floor: 2;  Construction year: 2009
Отдельный дом ,59 000 000 〒,"Медеуский р-н, мкр Каменское плато",Медеуский,3,120,Floor: 2;  Construction year: 2014
Отдельный дом ,200 000 000 〒,"Наурызбайский р-н, мкр Шугыла",Наурызбайский,5,220,Floor: 2;  Construction year: 2007
Отдельный дом ,75 000 000 〒,"Медеуский р-н, Учительская — Мариупольская",Медеуский,8,210.9,Floor: 3;  Construction year: 1963
Отдельный дом ,140 000 000 〒,Самрук,,4,260,Floor: 2;  Construction year: 2024
Отдельный дом ,49 000 000 〒,"Алатауский р-н, мкр Теректы, Квартал 4 316",Алатауский,6,165.1,Floor: 2;  Construction year: 2018
Отдельный дом ,142 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик), РозаЖаманова 209к.2",Бостандыкский,6,256.5,Floor: 3;  Construction year: 2022
Отдельный дом ,357 000 000 〒,"Медеуский р-н, мкр Горный Гигант — Посольство Германии",Медеуский,10,456,Floor: 3;  Construction year: 2018
4-комнатный дом,от 230 000 000 〒,Медеуский р-н,Медеуский,4,213,Floor: 2;  Construction year: 2022
Отдельный дом ,80 000 000 〒,"Алатауский р-н, мкр Акбулак, Аханова 17",Алатауский,5,172,Floor: 1;  Construction year: 2022
Отдельный дом ,100 000 000 〒,"Турксибский р-н, Василий Бортольда 22 — Карельская",Турксибский,5,250,Floor: 1;  Construction year: 2019
Отдельный дом ,55 000 000 〒,"Наурызбайский р-н, мкр Карагайлы, Ерубаева 17 — Ерубаева",Наурызбайский,4,80,Floor: 1;  Construction year: 2014
Отдельный дом ,265 000 000 〒,"Наурызбайский р-н, мкр Карагайлы 317/12",Наурызбайский,8,685,Floor: 3;  Construction year: 2023
Отдельный дом ,55 000 000 〒,"Алатауский р-н, мкр Алгабас 16 — Рыскулова серикбаева",Алатауский,2,70,Construction year: 2000
Часть дома ,19 000 000 〒,"Алатауский р-н, Кисловодская 6/2 — Емцова",Алатауский,2,38,Floor: 1;  Construction year: 1958
Отдельный дом ,60 000 000 〒,"Турксибский р-н, мкр Жас Канат — Хмельницкого",Турксибский,5,140,Floor: 2;  Construction year: 2012
4-комнатный дом,от 275 280 000 〒,Медеуский р-н,Медеуский,4,296,Floor: 2;  Construction year: 2022
Отдельный дом ,59 000 000 〒,"Медеуский р-н, мкр Думан-1 61а — Халиуллина",Медеуский,3,120,Floor: 1;  Construction year: 2002
Отдельный дом ,342 000 000 〒,"Бостандыкский р-н, мкр Баганашыл, Мкр Баганашыл 3-я Алма 1",Бостандыкский,7,636,Floor: 3;  Construction year: 2011
Отдельный дом ,75 000 000 〒,"Турксибский р-н, мкр Нуршашкан (Колхозши) 15 — Бердыкожа Батыр 15",Турксибский,6,220,Floor: 1;  Construction year: 2021
Отдельный дом ,53 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак, С/о Аксайский медик 140 — Детская республиканская клиническая больница",Наурызбайский,6,240,Floor: 2;  Construction year: 2013
Отдельный дом ,460 000 000 〒,"Медеуский р-н, Каппарова 5",Медеуский,12,700,Floor: 3;  Construction year: 2008
Отдельный дом ,735 355 558 〒,"Бостандыкский р-н, мкр Нур Алатау 15 — Исиналиева",Бостандыкский,6,455,Floor: 2;  Construction year: 2024
Отдельный дом ,55 000 000 〒,"Турксибский р-н, мкр Кайрат, Жаяу Муса 154 жаяу муса 154",Турксибский,5,1400,
Отдельный дом ,235 000 000 〒,"Медеуский р-н, мкр Каменское плато, Кербулакская 49 — Рядом с санаторием Каменское Плато",Медеуский,5,240,Floor: 2;  Construction year: 2024
Отдельный дом ,28 000 000 〒,"Алатауский р-н, Ынтымак",Алатауский,3,130,Floor: 1;  Construction year: 2022
Часть дома ,22 500 000 〒,"Алатауский р-н, проспект Райымбека 423 — Утеген Батыра",Алатауский,3,63,Floor: 1;  Construction year: 1970
Отдельный дом ,310 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик), Кунжарык 69",Бостандыкский,8,360,Floor: 3;  Construction year: 2016
Отдельный дом ,76 000 000 〒,"Бостандыкский р-н, Ерменсай 117",Бостандыкский,6,360,Floor: 3;  Construction year: 2019
Отдельный дом ,60 000 000 〒,"Алатауский р-н, мкр Теректы, ЖетиКазына",Алатауский,6,250,Floor: 2;  Construction year: 2010
Отдельный дом ,150 000 000 〒,"Медеуский р-н, мкр Думан-2",Медеуский,4,250,Floor: 1;  Construction year: 2013
Отдельный дом ,58 000 000 〒,"Алатауский р-н, мкр Карасу, Диханкол 34",Алатауский,4,100,Floor: 1;  Construction year: 2015
Отдельный дом ,49 000 000 〒,"Турксибский р-н, Бурундайская 60",Турксибский,5,110,Floor: 1;  Construction year: 2005
Отдельный дом ,60 000 000 〒,"Медеуский р-н, мкр Тау Самал, Оспанова 194",Медеуский,5,198,Floor: 2;  Construction year: 1998
5-комнатный дом,от 373 680 000 〒,"Медеуский р-н, Аскар Тау 364",Медеуский,5,311.4,Floor: 2;  Construction year: 2022
Отдельный дом ,75 000 000 〒,"Алатауский р-н, мкр Ожет, Мкр Ожет, ул. Балпык би 61",Алатауский,3,230,Floor: 1;  Construction year: 2008
Отдельный дом ,42 000 000 〒,"Турксибский р-н, Хмельницкого 2в",Турксибский,4,110,Construction year: 2010
Отдельный дом ,145 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2 116 — Казыбекова 116",Наурызбайский,12,386,Floor: 2;  Construction year: 2006
Отдельный дом ,65 000 000 〒,"Наурызбайский р-н, мкр Калкаман-1 12 — Алдана Айымбетова",Наурызбайский,3,100,Floor: 1;  Construction year: 2000
Отдельный дом ,138 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2 132 — Арман",Наурызбайский,8,350,Floor: 3;  Construction year: 1998
Отдельный дом ,77 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Мкр Калкаман-2,Айтей батыра 14а",Наурызбайский,4,128,
Часть дома ,14 000 000 〒,"Алмалинский р-н, мкр Тастак-2 Грановского 91 — Толеби Тлендиева",Алмалинский,2,41.2,Floor: 1;  Construction year: 1956
Отдельный дом ,2 100 000 000 〒,"Медеуский р-н, мкр Бутаковка — Музтау",Медеуский,4,500,
Отдельный дом ,900 000 000 〒,"Наурызбайский р-н, мкр Таужолы",Наурызбайский,7,1000,
Отдельный дом ,1 300 000 000 〒,"Медеуский р-н, мкр Коктобе — Асета Найманбаева",Медеуский,7,2000,Floor: на
Отдельный дом ,650 000 000 〒,"Медеуский р-н, мкр Каменское плато, С/о Алмалык",Медеуский,8,500,Floor: очень
Отдельный дом ,2 000 000 000 〒,"Медеуский р-н, Достык — Горная",Медеуский,7,800,Floor: 2
Отдельный дом ,912 000 000 〒,"Медеуский р-н, мкр Аскартау, Мкр Ремизовка — Байшешек",Медеуский,7,540,Floor: гостиная.
Отдельный дом ,3 400 000 000 〒,"Бостандыкский р-н, мкр Мирас 135",Бостандыкский,8,1715,Floor: 1715
Отдельный дом ,550 000 000 〒,"Бостандыкский р-н, мкр Нур Алатау — Пр. Аль Фараби",Бостандыкский,10,522,Floor: бойлерная.
Отдельный дом ,1 950 000 000 〒,"Медеуский р-н, мкр Юбилейный — Ондасынова",Медеуский,6,684,Floor: на
Отдельный дом ,1 748 000 000 〒,"Медеуский р-н, мкр Юбилейный",Медеуский,6,2082,
6-комнатный дом,от 418 000 000 〒,Медеуский р-н,Медеуский,6,380,Floor: 2;  Construction year: 2022
Отдельный дом ,380 000 000 〒,"Медеуский р-н, мкр Горный Гигант — Жамакаева",Медеуский,7,310,Floor: 3;  Construction year: 2007
Отдельный дом ,625 000 000 〒,"Медеуский р-н, Достык — Оспанова",Медеуский,5,800,
Отдельный дом ,1 550 000 000 〒,"Медеуский р-н, мкр Горный Гигант — Сидельникова",Медеуский,6,540,Floor: Роскошный
Отдельный дом ,40 990 000 〒,"Алатауский р-н, мкр Мадениет 77 — Саина - Центральная",Алатауский,5,180,Floor: 2;  Construction year: 2007
Отдельный дом ,45 000 000 〒,"Алатауский р-н, мкр Акбулак, Шарипова 32",Алатауский,5,120,
Отдельный дом ,120 000 000 〒,"Бостандыкский р-н, мкр Нур Алатау — Коксарай",Бостандыкский,4,150,Floor: 2;  Construction year: 2012
Отдельный дом ,185 000 000 〒,"Наурызбайский р-н, мкр Акжар",Наурызбайский,5,260,Floor: 2;  Construction year: 2019
2-комнатный дом,от 180 821 300 〒,"Наурызбайский р-н, Талжанова 1А",Наурызбайский,2,203.17,Floor: 2;  Construction year: 2025
6-комнатный дом,от 985 360 000 〒,"Бостандыкский р-н, мкр-н Мирас, ул. Садыкова",Бостандыкский,6,492.68,Floor: 2;  Construction year: 2025
Отдельный дом ,68 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Айбергенова 9",Наурызбайский,8,220,Floor: 2;  Construction year: 2011
